"Map","stateName","HotelRating","Latitude","Longitude"
"25.730399, -80.236431","Florida",4,25.730399,-80.236431
"25.730691, -80.235737","Florida",3,25.730691,-80.235737
"25.730716, -80.238602","Florida",3,25.730716,-80.238602
"25.73096, -80.23601","Florida",3,25.73096,-80.23601
"25.73117, -80.2355","Florida",3,25.73117,-80.2355
"25.731177, -80.235257","Florida",3,25.731177,-80.235257
"25.73123, -80.23598","Florida",3.285714285714286,25.73123,-80.23598
"25.7313, -80.23496","Florida",4,25.7313,-80.23496
"25.732813, -80.260261","Florida",4,25.732813,-80.260261
"25.73282, -80.25995","Florida",4,25.73282,-80.25995
"25.732882, -80.260205","Florida",4,25.732882,-80.260205
"25.73309, -80.38238","Florida",2,25.73309,-80.38238
"25.73486, -80.24873","Florida",3,25.73486,-80.24873
"25.734955, -80.2574","Florida",3,25.734955,-80.2574
"25.73641, -80.24685","Florida",3,25.73641,-80.24685
"25.736417, -80.217777","Florida",4,25.736417,-80.217777
"25.73832, -80.22355","Florida",4,25.73832,-80.22355
"25.73873, -80.23906","Florida",2,25.73873,-80.23906
"25.74007, -80.22481","Florida",4,25.74007,-80.22481
"25.741488, -80.278752","Florida",5,25.741488,-80.278752
"25.747005, -80.287532","Arizona",4,25.747005,-80.287532
"25.747535, -80.269396","Florida",3,25.747535,-80.269396
"25.74771, -80.26294","Florida",3,25.74771,-80.26294
"25.74989, -80.25299","Florida",2,25.74989,-80.25299
"25.750281, -80.258223","Florida",4,25.750281,-80.258223
"25.75119, -80.20368","Florida",3,25.75119,-80.20368
"25.752005, -80.255775","Florida",4,25.752005,-80.255775
"25.7529, -80.258472","Florida",3,25.7529,-80.258472
"25.753622, -80.262825","Florida",3,25.753622,-80.262825
"25.75619, -80.25856","Florida",2,25.75619,-80.25856
"25.75629, -80.2625","Florida",3,25.75629,-80.2625
"25.757642, -80.139379","Florida",4,25.757642,-80.139379
"25.757759, -80.211848","Florida",1,25.757759,-80.211848
"25.758059, -80.19859","Florida",3,25.758059,-80.19859
"25.75872, -80.20261","Florida",3,25.75872,-80.20261
"25.759165, -80.193915","Florida",4,25.759165,-80.193915
"25.759167, -80.19353","Florida",3,25.759167,-80.19353
"25.759187, -80.191092","Florida",4,25.759187,-80.191092
"25.75924, -80.19357","Florida",4,25.75924,-80.19357
"25.75934, -80.19193","Florida",5,25.75934,-80.19193
"25.759341, -80.191915","Florida",5,25.759341,-80.191915
"25.75981, -80.19886","Florida",4,25.75981,-80.19886
"25.75995, -80.19662","Florida",4,25.75995,-80.19662
"25.760357, -80.343878","Florida",2,25.760357,-80.343878
"25.76042, -80.19187","Florida",3,25.76042,-80.19187
"25.76049, -80.19132","Florida",4,25.76049,-80.19132
"25.760648, -80.191706","Florida",5,25.760648,-80.191706
"25.76097, -80.25866","Florida",2,25.76097,-80.25866
"25.76109, -80.19836","Florida",2,25.76109,-80.19836
"25.761251, -80.19336","Florida",4,25.761251,-80.19336
"25.76181, -80.19036","Florida",3,25.76181,-80.19036
"25.761952, -80.190487","Florida",3,25.761952,-80.190487
"25.76202, -80.19577","Florida",4,25.76202,-80.19577
"25.762161, -80.19117","Florida",5,25.762161,-80.19117
"25.762266, -80.19424","Florida",3,25.762266,-80.19424
"25.762484, -80.195765","Florida",4,25.762484,-80.195765
"25.762484, -80.195797","Florida",3,25.762484,-80.195797
"25.762493, -80.195892","Florida",4,25.762493,-80.195892
"25.76272, -80.18967","Florida",4,25.76272,-80.18967
"25.762813, -80.140988","Florida",4,25.762813,-80.140988
"25.763570786, -80.19405365","Florida",3,25.763570786,-80.19405365
"25.763582, -80.196635","Florida",3,25.763582,-80.196635
"25.76359, -80.19676","Florida",3,25.76359,-80.19676
"25.76361, -80.19854","Florida",3,25.76361,-80.19854
"25.763644, -80.14259","Florida",5,25.763644,-80.14259
"25.76404, -80.27173","Florida",2,25.76404,-80.27173
"25.76412, -80.19726","Florida",3,25.76412,-80.19726
"25.76472, -80.21966","Florida",1,25.76472,-80.21966
"25.765053, -80.184906","Florida",5,25.765053,-80.184906
"25.765418, -80.481713","Florida",3,25.765418,-80.481713
"25.765622, -80.193055","Florida",4,25.765622,-80.193055
"25.76564, -80.19307","Florida",4,25.76564,-80.19307
"25.765744, -80.193031","Florida",4,25.765744,-80.193031
"25.76635, -80.21888","Florida",2,25.76635,-80.21888
"25.766704, -80.192669","Florida",4,25.766704,-80.192669
"25.76686, -80.19611","Florida",3,25.76686,-80.19611
